f;p;d;h;R;Ct;zone;htg;hrg;pol;phi_t;phi_r;lam_t;lam_r;azimuth
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[5, 5, 9, 6, 5, 15, 9, 7, 0, 0, 0, 11];[0, 0, 0, 0, 0, 15, 10, 15, 0, 0, 0, 15];[2, 2, 2, 2, 2, 4, 3, 4, 1, 1, 1, 4];[4, 4, 4, 4, 4, 3, 3, 1, 1, 1, 1, 3];57;10;1;9.340443868814043;9.294874848038322;-13.39907700128792;-13.320459333356908;120.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[6, 6, 4, 2, 7, 7, 4, 5, 5, 0, 0, 0];[0, 0, 0, 10, 0, 15, 15, 10, 15, 0, 0, 0];[2, 2, 2, 3, 2, 4, 4, 3, 4, 1, 1, 1];[4, 4, 4, 4, 4, 3, 3, 1, 1, 1, 1, 1];57;10;1;9.339156972230905;9.280721297319536;-13.399993032469654;-13.330536437917612;130.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[6, 6, 4, 8, 5, 6, 7, 6, 9, 6, 0, 0];[0, 0, 0, 15, 15, 15, 15, 15, 15, 15, 0, 0];[2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 1, 1];[4, 4, 4, 4, 4, 4, 4, 3, 1, 1, 1, 1];57;10;1;9.338047610386084;9.268520488281997;-13.40112013299731;-13.342933731542375;140.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[6, 6, 11, 6, 7, 3, 5, 3, 6, 0, 0, 0];[15, 15, 15, 0, 10, 10, 10, 10, 15, 0, 0, 0];[4, 4, 4, 2, 3, 3, 3, 3, 4, 1, 1, 1];[4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 1];57;10;1;9.33714948889175;9.258642923257636;-13.402424057145954;-13.357274611964852;150.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[10, 10, 7, 9, 7, 6, 5, 5, 0, 0, 0, 0];[0, 0, 0, 15, 15, 0, 10, 15, 0, 0, 0, 0];[2, 2, 2, 4, 4, 2, 3, 4, 1, 1, 1, 1];[4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 1];57;10;1;9.336489895252994;9.251388554266173;-13.403865187710549;-13.373123566502352;160.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[13, 13, 5, 4, 4, 4, 5, 6, 0, 0, 0, 0];[0, 0, 10, 10, 10, 10, 10, 15, 0, 0, 0, 0];[2, 2, 3, 3, 3, 3, 3, 4, 1, 1, 1, 1];[4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 1, 1];57;10;1;9.336088869926671;9.246977689300635;-13.40539973952891;-13.389999377197684;170.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[6, 6, 12, 4, 4, 6, 8, 6, 0, 0, 0, 0];[10, 10, 15, 15, 15, 15, 15, 0, 0, 0, 0, 0];[3, 3, 4, 4, 4, 4, 4, 1, 1, 1, 1, 2];[4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 1, 1];57;10;1;9.335958597517804;9.245544311270171;-13.406981089526854;-13.407389701097628;180.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[6, 6, 6, 5, 4, 0, 0, 0, 6, 0, 0, 0];[10, 10, 15, 15, 0, 0, 0, 0, 15, 0, 0, 0];[3, 3, 4, 4, 1, 1, 1, 1, 4, 1, 1, 1];[4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1];57;10;1;9.33610303659795;9.247132011222643;-13.408561192914307;-13.424766587561784;190.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[7, 7, 5, 9, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 15, 15, 0, 0, 0, 0, 0, 0, 0, 0];[2, 2, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1];[4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1];57;10;1;9.336517799388467;9.251692659032132;-13.410092042552835;-13.44160246695968;200.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[10, 10, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0];[10, 10, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0];[3, 3, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1];[4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1];57;10;1;9.33719028496894;9.25908785256806;-13.411527127206359;-13.457386131070802;210.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[5, 5, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0];[15, 15, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0];[4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1];[4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1];57;10;1;9.338100061976828;9.269093102860284;-13.412822844417603;-13.471638225361547;220.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[5, 5, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0];[15, 15, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0];[4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1];[4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1];57;10;1;9.33921948919088;9.281404630390174;-13.413939825122085;-13.483925787125829;230.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[4, 4, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0];[15, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1];57;10;1;9.340514555167868;9.295648568805822;-13.414844129778928;-13.493875390927316;240.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[15, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1];57;10;1;9.341945911447993;9.311392299427224;-13.415508279684202;-13.501184503191837;250.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1];57;10;1;9.343470067961404;9.328157575063642;-13.415912092121651;-13.505630700135011;260.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];57;10;1;9.34504071433525;9.34543503688044;-13.416043293948256;-13.50707846610313;270.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[4, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1];57;10;1;9.346610126968166;9.362699685018589;-13.41589789492992;-13.5054833611709;280.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[15, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1];57;10;1;9.348130619124145;9.379426833754493;-13.415480309432796;-13.500893425509272;290.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[6, 6, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0];[15, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1];57;10;1;9.349555989981257;9.395108066190627;-13.414803222718492;-13.493447771390741;300.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0];[15, 15, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0];[4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1];[4, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1];57;10;1;9.350842928593211;9.40926670238579;-13.413887205854584;-13.48337239930898;310.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[6, 6, 5, 0, 0, 0, 0, 0, 0, 3, 10, 2];[15, 15, 15, 0, 0, 0, 0, 0, 0, 10, 15, 10];[4, 4, 4, 1, 1, 1, 1, 1, 1, 3, 4, 3];[4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 4, 4];57;10;1;9.351952330084412;9.421472308632882;-13.412760090899337;-13.470973359970118;320.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[7, 7, 7, 7, 0, 0, 0, 0, 0, 4, 9, 15];[15, 15, 15, 0, 0, 0, 0, 0, 0, 10, 15, 15];[4, 4, 4, 2, 1, 1, 1, 1, 1, 3, 4, 4];[4, 4, 4, 4, 1, 1, 1, 1, 1, 4, 4, 4];57;10;1;9.352850484060767;9.431353803984662;-13.411456125317862;-13.45662746619077;330.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[5, 5, 3, 1, 4, 5, 0, 0, 6, 4, 2, 3];[15, 15, 15, 10, 15, 0, 0, 0, 0, 10, 10, 10];[4, 4, 4, 3, 4, 1, 1, 1, 2, 3, 3, 3];[4, 4, 4, 4, 4, 4, 1, 1, 1, 4, 4, 4];57;10;1;9.35351009909936;9.43861076236284;-13.410014931312602;-13.44077083533289;340.0
0.9;50;[0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0];[7, 7, 4, 5, 5, 4, 4, 0, 5, 4, 3, 5];[10, 10, 15, 10, 15, 10, 0, 0, 10, 15, 15, 10];[3, 3, 4, 3, 4, 3, 1, 1, 3, 4, 4, 3];[4, 4, 4, 4, 4, 3, 3, 1, 1, 1, 3, 4];57;10;1;9.353911132162196;9.443022563452475;-13.40848030169763;-13.423885611231297;350.0
