;tx_id;rx_id;link_id;distance_km;azimuth_deg;geometry
57;TX_0001;58;TX_0001_RX_0058;2;210;POINT (-13.416114030643413 9.329380473439505)
58;TX_0001;59;TX_0001_RX_0059;2;220;POINT (-13.418705450713713 9.331199985493695)
59;TX_0001;60;TX_0001_RX_0060;2;230;POINT (-13.420939426461578 9.33343880031506)
60;TX_0001;61;TX_0001_RX_0061;2;240;POINT (-13.42274807708884 9.336028899783264)
61;TX_0001;62;TX_0001_RX_0062;2;250;POINT (-13.424076440222192 9.338891590891523)
62;TX_0001;63;TX_0001_RX_0063;2;260;POINT (-13.424884142808809 9.341939896088617)
63;TX_0001;64;TX_0001_RX_0064;2;270;POINT (-13.425146629201986 9.345081195579922)
64;TX_0001;65;TX_0001_RX_0065;2;280;POINT (-13.424855908958172 9.348220041359212)
65;TX_0001;66;TX_0001_RX_0066;2;290;POINT (-13.42402080142164 9.351261057490053)
66;TX_0001;67;TX_0001_RX_0067;2;300;POINT (-13.422666669448603 9.354111838497161)
67;TX_0001;68;TX_0001_RX_0068;2;310;POINT (-13.420834650156483 9.356685757749354)
68;TX_0001;69;TX_0001_RX_0069;2;320;POINT (-13.41858040590329 9.358904600420392)
69;TX_0001;70;TX_0001_RX_0070;2;330;POINT (-13.41597243333667 9.360700940923744)
70;TX_0001;71;TX_0001_RX_0071;2;340;POINT (-13.413089981851112 9.362020192473311)
71;TX_0001;72;TX_0001_RX_0072;2;350;POINT (-13.410020644735841 9.362822266389541)
72;TX_0001;73;TX_0001_RX_0073;3;0;POINT (-13.406816482142924 9.372124178802327)
73;TX_0001;74;TX_0001_RX_0074;3;10;POINT (-13.402075704958122 9.37169073770314)
74;TX_0001;75;TX_0001_RX_0075;3;20;POINT (-13.397482775488893 9.370446257651293)
75;TX_0001;76;TX_0001_RX_0076;3;30;POINT (-13.39317727339389 9.36842856456796)
76;TX_0001;77;TX_0001_RX_0077;3;40;POINT (-13.38929003599078 9.365698981102506)
77;TX_0001;78;TX_0001_RX_0078;3;50;POINT (-13.38593918079779 9.362340461423488)
78;TX_0001;79;TX_0001_RX_0079;3;60;POINT (-13.383226515901363 9.35845506861552)
79;TX_0001;80;TX_0001_RX_0080;3;70;POINT (-13.381234447300955 9.354160871584838)
80;TX_0001;81;TX_0001_RX_0081;3;80;POINT (-13.380023477107752 9.34958835599838)
81;TX_0001;82;TX_0001_RX_0082;3;90;POINT (-13.379630368359331 9.34487645850177)
82;TX_0001;83;TX_0001_RX_0083;3;100;POINT (-13.380067031827682 9.340168344838956)
83;TX_0001;84;TX_0001_RX_0084;3;110;POINT (-13.381320168178304 9.335607060194093)
84;TX_0001;85;TX_0001_RX_0085;3;120;POINT (-13.383351675862025 9.331331183870644)
85;TX_0001;86;TX_0001_RX_0086;3;130;POINT (-13.386099811889316 9.327470620209757)
86;TX_0001;87;TX_0001_RX_0087;3;140;POINT (-13.389481069850032 9.324142653445463)
87;TX_0001;88;TX_0001_RX_0088;3;150;POINT (-13.393392717880873 9.321448386133975)
88;TX_0001;89;TX_0001_RX_0089;3;160;POINT (-13.397715919390192 9.319469669127054)
89;TX_0001;90;TX_0001_RX_0090;3;170;POINT (-13.402319341810227 9.318266616141534)
90;TX_0001;91;TX_0001_RX_0091;3;180;POINT (-13.407063143973618 9.317875778258088)
91;TX_0001;92;TX_0001_RX_0092;3;190;POINT (-13.411803221331912 9.31830903369642)
92;TX_0001;93;TX_0001_RX_0093;3;200;POINT (-13.416395580479954 9.319553226559432)
93;TX_0001;94;TX_0001_RX_0094;3;210;POINT (-13.420700710548262 9.321570565565176)
94;TX_0001;95;TX_0001_RX_0095;3;220;POINT (-13.424587819091064 9.324299770771297)
95;TX_0001;96;TX_0001_RX_0096;3;230;POINT (-13.427938804132541 9.327657933632901)
96;TX_0001;97;TX_0001_RX_0097;3;240;POINT (-13.43065184192456 9.331543034102808)
97;TX_0001;98;TX_0001_RX_0098;3;250;POINT (-13.432644481490922 9.335837038535061)
98;TX_0001;99;TX_0001_RX_0099;3;260;POINT (-13.433856151853524 9.340409484492907)
99;TX_0001;100;TX_0001_RX_0100;3;270;POINT (-13.434250005524056 9.345121443728948)
100;TX_0001;101;TX_0001_RX_0101;3;280;POINT (-13.433814041881973 9.349829743052547)
101;TX_0001;102;TX_0001_RX_0102;3;290;POINT (-13.432561475852445 9.354391314886131)
102;TX_0001;103;TX_0001_RX_0103;3;300;POINT (-13.430530340195517 9.35866754528706)
103;TX_0001;104;TX_0001_RX_0104;3;310;POINT (-13.427782333028778 9.36252848720724)
104;TX_0001;105;TX_0001_RX_0105;3;320;POINT (-13.424400945219851 9.365856810788975)
105;TX_0001;106;TX_0001_RX_0106;3;330;POINT (-13.420488924293595 9.368551370438624)
106;TX_0001;107;TX_0001_RX_0107;3;340;POINT (-13.416165151818317 9.370530280044095)
107;TX_0001;108;TX_0001_RX_0108;3;350;POINT (-13.4115610292287 9.371733402658306)
108;TX_0001;109;TX_0001_RX_0109;4;0;POINT (-13.406775226414291 9.381165562173466)
109;TX_0001;110;TX_0001_RX_0110;4;10;POINT (-13.400454034100775 9.380587599350912)
110;TX_0001;111;TX_0001_RX_0111;4;20;POINT (-13.394330001007614 9.378928228537413)
111;TX_0001;112;TX_0001_RX_0112;4;30;POINT (-13.388589248738976 9.376237892070504)
112;TX_0001;113;TX_0001_RX_0113;4;40;POINT (-13.383406237059724 9.372598363078565)
113;TX_0001;114;TX_0001_RX_0114;4;50;POINT (-13.37893845940501 9.368120257362136)
114;TX_0001;115;TX_0001_RX_0115;4;60;POINT (-13.375321656298745 9.36293966867177)
115;TX_0001;116;TX_0001_RX_0116;4;70;POINT (-13.372665692262883 9.357214030074699)
116;TX_0001;117;TX_0001_RX_0117;4;80;POINT (-13.371051221327868 9.351117327588097)
117;TX_0001;118;TX_0001_RX_0118;4;90;POINT (-13.370527242004192 9.344834811855357)
118;TX_0001;119;TX_0001_RX_0119;4;100;POINT (-13.371109615318423 9.338557368768605)
119;TX_0001;120;TX_0001_RX_0120;4;110;POINT (-13.372780590109949 9.332475720153017)
120;TX_0001;121;TX_0001_RX_0121;4;120;POINT (-13.375489349137675 9.326774630634496)
121;TX_0001;122;TX_0001_RX_0122;4;130;POINT (-13.379153558593135 9.321627296480015)
122;TX_0001;123;TX_0001_RX_0123;4;140;POINT (-13.383661873289574 9.317190086556568)
123;TX_0001;124;TX_0001_RX_0124;4;150;POINT (-13.388877320995707 9.313597794785007)
124;TX_0001;125;TX_0001_RX_0125;4;160;POINT (-13.394641462953912 9.310959547903618)
125;TX_0001;126;TX_0001_RX_0126;4;170;POINT (-13.400779204334611 9.30935549247717)
