f;p;d;h;R;Ct;zone;htg;hrg;pol;phi_t;phi_r;lam_t;lam_r
0.9;50;[0.0, 0.031, 0.062, 0.092, 0.123, 0.154, 0.185, 0.215, 0.246, 0.277, 0.308, 0.338, 0.369, 0.4, 0.431, 0.462, 0.492, 0.523, 0.554, 0.585, 0.615, 0.646, 0.677, 0.708, 0.738, 0.769, 0.8, 0.831, 0.862, 0.892, 0.923, 0.954, 0.985, 1.015, 1.046, 1.077, 1.108, 1.138, 1.169, 1.2, 1.231, 1.262, 1.292, 1.323, 1.354, 1.385, 1.415, 1.446, 1.477, 1.508, 1.538, 1.569, 1.6, 1.631, 1.662, 1.692, 1.723, 1.754, 1.785, 1.815, 1.846, 1.877, 1.908, 1.938, 1.969, 2.0];[13, 13, 13, 8, 8, 8, 8, 8, 8, 10, 10, 10, 8, 8, 8, 13, 13, 13, 15, 15, 15, 10, 10, 10, 12, 12, 12, 15, 15, 15, 16, 16, 16, 15, 15, 15, 17, 17, 17, 17, 17, 17, 15, 15, 15, 17, 17, 17, 15, 15, 15, 16, 16, 16, 15, 15, 15, 15, 15, 15, 14, 14, 14, 14, 14, 14];[15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 0, 15, 15, 0, 0, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 0, 15, 0, 0];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 2, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 2, 2];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];57;10;1;9.345;9.363082790646727;-13.40694;-13.406857696313264
0.9;50;[0.0, 0.031, 0.062, 0.092, 0.123, 0.154, 0.185, 0.215, 0.246, 0.277, 0.308, 0.338, 0.369, 0.4, 0.431, 0.462, 0.492, 0.523, 0.554, 0.585, 0.615, 0.646, 0.677, 0.708, 0.738, 0.769, 0.8, 0.831, 0.862, 0.892, 0.923, 0.954, 0.985, 1.015, 1.046, 1.077, 1.108, 1.138, 1.169, 1.2, 1.231, 1.262, 1.292, 1.323, 1.354, 1.385, 1.415, 1.446, 1.477, 1.508, 1.538, 1.569, 1.6, 1.631, 1.662, 1.692, 1.723, 1.754, 1.785, 1.815, 1.846, 1.877, 1.908, 1.938, 1.969, 2.0];[13, 13, 13, 13, 8, 8, 16, 15, 15, 15, 12, 12, 12, 6, 6, 6, 13, 13, 13, 15, 15, 15, 15, 11, 11, 13, 13, 13, 9, 9, 9, 9, 9, 9, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 6, 6, 5, 5, 5, 5, 5, 5, 6, 6];[15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 0, 15, 15, 15, 15, 15, 0, 0, 15, 15, 15, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 2, 2, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];57;10;1;9.345;9.362793850578276;-13.40694;-13.403697256145017
0.9;50;[0.0, 0.031, 0.062, 0.092, 0.123, 0.154, 0.185, 0.215, 0.246, 0.277, 0.308, 0.338, 0.369, 0.4, 0.431, 0.462, 0.492, 0.523, 0.554, 0.585, 0.615, 0.646, 0.677, 0.708, 0.738, 0.769, 0.8, 0.831, 0.862, 0.892, 0.923, 0.954, 0.985, 1.015, 1.046, 1.077, 1.108, 1.138, 1.169, 1.2, 1.231, 1.262, 1.292, 1.323, 1.354, 1.385, 1.415, 1.446, 1.477, 1.508, 1.538, 1.569, 1.6, 1.631, 1.662, 1.692, 1.723, 1.754, 1.785, 1.815, 1.846, 1.877, 1.908, 1.938, 1.969, 2.0];[13, 13, 13, 15, 16, 16, 16, 15, 15, 15, 12, 12, 12, 7, 7, 7, 8, 8, 8, 8, 11, 7, 7, 10, 10, 10, 7, 7, 7, 4, 4, 4, 5, 5, 5, 5, 4, 4, 4, 6, 6, 6, 5, 5, 5, 4, 5, 5, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 6, 6, 6, 3, 3, 4, 4, 4];[15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 0, 0, 0, 15, 15, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 0, 0, 10, 10, 10, 10, 10, 0, 0, 0, 0, 0, 0, 10, 15, 0, 0, 10, 10, 10, 10, 10, 0];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 4, 4, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 3, 4, 2, 2, 3, 3, 3, 3, 3, 1];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];57;10;1;9.345;9.36196422921237;-13.40694;-13.400635366676026
0.9;50;[0.0, 0.031, 0.062, 0.092, 0.123, 0.154, 0.185, 0.215, 0.246, 0.277, 0.308, 0.338, 0.369, 0.4, 0.431, 0.462, 0.492, 0.523, 0.554, 0.585, 0.615, 0.646, 0.677, 0.708, 0.738, 0.769, 0.8, 0.831, 0.862, 0.892, 0.923, 0.954, 0.985, 1.015, 1.046, 1.077, 1.108, 1.138, 1.169, 1.2, 1.231, 1.262, 1.292, 1.323, 1.354, 1.385, 1.415, 1.446, 1.477, 1.508, 1.538, 1.569, 1.6, 1.631, 1.662, 1.692, 1.723, 1.754, 1.785, 1.815, 1.846, 1.877, 1.908, 1.938, 1.969, 2.0];[13, 13, 15, 15, 16, 16, 16, 15, 10, 10, 10, 12, 12, 12, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 6, 5, 5, 5, 5, 5, 5, 8, 8, 8, 6, 6, 6, 5, 4, 4, 4, 5, 5, 6, 6, 13, 13, 13, 10, 5, 5, 5, 5, 5, 5, 4, 4, 4, 3, 3, 3, 3, 5, 5, 5];[15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 10, 10, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 15, 0, 0, 10, 10, 10, 10, 10, 15, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 15, 15, 10, 15];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 3, 3, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 2, 2, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 4];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3];57;10;1;9.345;9.360619139953014;-13.40694;-13.397765073330914
0.9;50;[0.0, 0.031, 0.062, 0.092, 0.123, 0.154, 0.185, 0.215, 0.246, 0.277, 0.308, 0.338, 0.369, 0.4, 0.431, 0.462, 0.492, 0.523, 0.554, 0.585, 0.615, 0.646, 0.677, 0.708, 0.738, 0.769, 0.8, 0.831, 0.862, 0.892, 0.923, 0.954, 0.985, 1.015, 1.046, 1.077, 1.108, 1.138, 1.169, 1.2, 1.231, 1.262, 1.292, 1.323, 1.354, 1.385, 1.415, 1.446, 1.477, 1.508, 1.538, 1.569, 1.6, 1.631, 1.662, 1.692, 1.723, 1.754, 1.785, 1.815, 1.846, 1.877, 1.908, 1.938, 1.969, 2.0];[13, 13, 15, 15, 16, 16, 16, 10, 10, 10, 10, 5, 4, 4, 4, 4, 6, 6, 6, 6, 5, 5, 5, 5, 4, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5, 6, 6, 6, 5, 5, 5, 5, 5, 4, 4, 4, 4, 5, 5, 5, 6, 6, 5, 5, 5, 5, 5, 5, 4, 4, 4];[15, 15, 15, 15, 15, 15, 15, 15, 0, 0, 0, 0, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 15, 10, 15, 15, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 10, 10, 15, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 15, 15, 15, 15, 15, 15, 10];[4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 4, 4, 4, 3, 4, 4, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 3];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3];57;10;1;9.345;9.358799459783567;-13.40694;-13.395173595989338
0.9;50;[0.0, 0.031, 0.062, 0.092, 0.123, 0.154, 0.185, 0.215, 0.246, 0.277, 0.308, 0.338, 0.369, 0.4, 0.431, 0.462, 0.492, 0.523, 0.554, 0.585, 0.615, 0.646, 0.677, 0.708, 0.738, 0.769, 0.8, 0.831, 0.862, 0.892, 0.923, 0.954, 0.985, 1.015, 1.046, 1.077, 1.108, 1.138, 1.169, 1.2, 1.231, 1.262, 1.292, 1.323, 1.354, 1.385, 1.415, 1.446, 1.477, 1.508, 1.538, 1.569, 1.6, 1.631, 1.662, 1.692, 1.723, 1.754, 1.785, 1.815, 1.846, 1.877, 1.908, 1.938, 1.969, 2.0];[13, 13, 15, 15, 15, 16, 10, 10, 10, 10, 5, 5, 5, 3, 3, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 4, 4, 4, 4, 6, 6, 6, 6, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 6, 7, 7, 7, 6, 6, 6, 6, 6, 7, 7, 7, 7, 10, 12, 12, 12, 10, 13, 13, 13, 10, 10];[15, 15, 15, 15, 15, 15, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 0, 10, 10, 10, 10, 10, 10, 10, 15, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 0, 0, 0, 0, 0, 10, 10, 15, 0, 15, 15, 15, 15, 15, 15, 15, 15, 15, 0, 0, 0];[4, 4, 4, 4, 4, 4, 4, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 4, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 3, 3, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3, 3];57;10;1;9.345;9.356560486376667;-13.40694;-13.392939677951878
0.9;50;[0.0, 0.031, 0.062, 0.092, 0.123, 0.154, 0.185, 0.215, 0.246, 0.277, 0.308, 0.338, 0.369, 0.4, 0.431, 0.462, 0.492, 0.523, 0.554, 0.585, 0.615, 0.646, 0.677, 0.708, 0.738, 0.769, 0.8, 0.831, 0.862, 0.892, 0.923, 0.954, 0.985, 1.015, 1.046, 1.077, 1.108, 1.138, 1.169, 1.2, 1.231, 1.262, 1.292, 1.323, 1.354, 1.385, 1.415, 1.446, 1.477, 1.508, 1.538, 1.569, 1.6, 1.631, 1.662, 1.692, 1.723, 1.754, 1.785, 1.815, 1.846, 1.877, 1.908, 1.938, 1.969, 2.0];[13, 13, 15, 15, 15, 11, 11, 10, 4, 4, 4, 4, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 8, 8, 5, 5, 5, 5, 5, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 8, 8, 7, 7, 7];[15, 15, 15, 15, 15, 15, 0, 0, 0, 10, 0, 0, 0, 10, 10, 10, 15, 0, 10, 10, 10, 10, 10, 0, 0, 0, 15, 15, 15, 15, 0, 0, 0, 0, 15, 15, 15, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[4, 4, 4, 4, 4, 4, 2, 1, 1, 3, 2, 2, 2, 3, 3, 3, 4, 2, 3, 3, 3, 3, 3, 2, 2, 2, 4, 4, 4, 4, 2, 2, 2, 2, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3];57;10;1;9.345;9.353970256980418;-13.40694;-13.391131193055969
0.9;50;[0.0, 0.031, 0.062, 0.092, 0.123, 0.154, 0.185, 0.215, 0.246, 0.277, 0.308, 0.338, 0.369, 0.4, 0.431, 0.462, 0.492, 0.523, 0.554, 0.585, 0.615, 0.646, 0.677, 0.708, 0.738, 0.769, 0.8, 0.831, 0.862, 0.892, 0.923, 0.954, 0.985, 1.015, 1.046, 1.077, 1.108, 1.138, 1.169, 1.2, 1.231, 1.262, 1.292, 1.323, 1.354, 1.385, 1.415, 1.446, 1.477, 1.508, 1.538, 1.569, 1.6, 1.631, 1.662, 1.692, 1.723, 1.754, 1.785, 1.815, 1.846, 1.877, 1.908, 1.938, 1.969, 2.0];[13, 13, 15, 15, 15, 11, 11, 11, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 4, 4, 4, 12, 12, 12, 6, 6, 6, 7, 7, 7, 5, 5, 5, 5, 5, 5, 5, 6, 6, 5, 7, 7, 7, 8, 8, 8, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8, 10, 8, 8, 7];[15, 15, 15, 15, 15, 15, 0, 0, 0, 10, 10, 10, 0, 0, 15, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 15, 15, 15, 15, 0, 0, 0];[4, 4, 4, 4, 4, 4, 2, 1, 1, 3, 3, 3, 2, 2, 4, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 4, 4, 4, 4, 2, 2, 2];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];57;10;1;9.345;9.35110748027284;-13.40694;-13.389803083685264
0.9;50;[0.0, 0.031, 0.062, 0.092, 0.123, 0.154, 0.185, 0.215, 0.246, 0.277, 0.308, 0.338, 0.369, 0.4, 0.431, 0.462, 0.492, 0.523, 0.554, 0.585, 0.615, 0.646, 0.677, 0.708, 0.738, 0.769, 0.8, 0.831, 0.862, 0.892, 0.923, 0.954, 0.985, 1.015, 1.046, 1.077, 1.108, 1.138, 1.169, 1.2, 1.231, 1.262, 1.292, 1.323, 1.354, 1.385, 1.415, 1.446, 1.477, 1.508, 1.538, 1.569, 1.6, 1.631, 1.662, 1.692, 1.723, 1.754, 1.785, 1.815, 1.846, 1.877, 1.908, 1.938, 1.969, 2.0];[13, 15, 15, 15, 15, 11, 11, 11, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 4, 4, 4, 7, 7, 7, 6, 6, 6, 7, 7, 7, 7, 7, 7, 9, 9, 9, 12, 12, 12, 7, 7, 7, 6, 6, 6, 6, 6, 6, 5, 6, 6, 8, 8, 8, 12, 12, 12, 6, 6, 6, 5];[15, 15, 15, 15, 15, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0, 15, 15, 15, 0, 0, 0, 15, 15, 0, 0, 0, 0, 0, 0, 0, 15, 15, 15, 15, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 15, 0, 0, 0, 0, 0, 10];[4, 4, 4, 4, 4, 2, 1, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 1, 1, 4, 4, 4, 2, 2, 2, 4, 4, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 2, 2, 2, 2, 2, 3];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];57;10;1;9.345;9.348059144129682;-13.40694;-13.388995692285068
0.9;50;[0.0, 0.031, 0.062, 0.092, 0.123, 0.154, 0.185, 0.215, 0.246, 0.277, 0.308, 0.338, 0.369, 0.4, 0.431, 0.462, 0.492, 0.523, 0.554, 0.585, 0.615, 0.646, 0.677, 0.708, 0.738, 0.769, 0.8, 0.831, 0.862, 0.892, 0.923, 0.954, 0.985, 1.015, 1.046, 1.077, 1.108, 1.138, 1.169, 1.2, 1.231, 1.262, 1.292, 1.323, 1.354, 1.385, 1.415, 1.446, 1.477, 1.508, 1.538, 1.569, 1.6, 1.631, 1.662, 1.692, 1.723, 1.754, 1.785, 1.815, 1.846, 1.877, 1.908, 1.938, 1.969, 2.0];[13, 16, 16, 16, 12, 12, 12, 4, 4, 4, 5, 5, 5, 4, 4, 4, 5, 5, 5, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 7, 7, 7, 8, 8, 8, 13, 13, 13, 8, 8, 8, 6, 6, 6, 7, 7, 7, 7, 7, 7, 10, 10, 10, 7, 7, 7, 7, 7, 7, 6, 6];[15, 15, 15, 15, 15, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 0, 0, 0, 0, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 15, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10];[4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 2, 2, 2, 2, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];57;10;1;9.345;9.344917872078124;-13.40694;-13.388733536968418
