f;p;d;h;R;Ct;zone;htg;hrg;pol;phi_t;phi_r;lam_t;lam_r
0.9;50;[0.0, 0.031, 0.062, 0.094, 0.125, 0.156, 0.188, 0.219, 0.25, 0.281, 0.312, 0.344, 0.375, 0.406, 0.438, 0.469, 0.5, 0.531, 0.562, 0.594, 0.625, 0.656, 0.688, 0.719, 0.75, 0.781, 0.812, 0.844, 0.875, 0.906, 0.938, 0.969, 1.0];[13, 16, 16, 16, 12, 12, 12, 4, 4, 4, 5, 5, 5, 4, 4, 4, 5, 4, 4, 5, 5, 5, 7, 7, 7, 11, 11, 11, 7, 7, 7, 6, 6];[15, 15, 15, 15, 15, 0, 0, 0, 0, 0, 10, 10, 10, 10, 0, 0, 0, 0, 0, 10, 10, 15, 15, 15, 15, 15, 15, 15, 15, 15, 0, 0, 0];[4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 3, 3, 3, 3, 2, 2, 2, 2, 2, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];57;10;1;9.345;9.343389660575317;-13.40694;-13.39798222437117
0.9;50;[0.0, 0.031, 0.062, 0.094, 0.125, 0.156, 0.188, 0.219, 0.25, 0.281, 0.312, 0.344, 0.375, 0.406, 0.438, 0.469, 0.5, 0.531, 0.562, 0.594, 0.625, 0.656, 0.688, 0.719, 0.75, 0.781, 0.812, 0.844, 0.875, 0.906, 0.938, 0.969, 1.0];[13, 14, 16, 16, 16, 12, 12, 12, 4, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 4, 9, 9, 9, 8, 8, 8];[15, 15, 15, 15, 15, 15, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 0, 0, 0, 10, 0, 0, 15, 15, 15, 15, 15, 0, 0];[4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 3, 2, 2, 4, 4, 4, 4, 4, 2, 2];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];57;10;1;9.345;9.341869200329205;-13.40694;-13.398399873237308
0.9;50;[0.0, 0.031, 0.062, 0.094, 0.125, 0.156, 0.188, 0.219, 0.25, 0.281, 0.312, 0.344, 0.375, 0.406, 0.438, 0.469, 0.5, 0.531, 0.562, 0.594, 0.625, 0.656, 0.688, 0.719, 0.75, 0.781, 0.812, 0.844, 0.875, 0.906, 0.938, 0.969, 1.0];[13, 14, 16, 16, 16, 12, 12, 12, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5, 5, 6, 4, 4, 4, 4, 6, 5, 5, 5];[15, 15, 15, 15, 15, 15, 10, 10, 10, 10, 10, 10, 10, 15, 10, 10, 10, 10, 10, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0];[4, 4, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];57;10;1;9.345;9.340443868814043;-13.40694;-13.39907700128792
0.9;50;[0.0, 0.031, 0.062, 0.094, 0.125, 0.156, 0.188, 0.219, 0.25, 0.281, 0.312, 0.344, 0.375, 0.406, 0.438, 0.469, 0.5, 0.531, 0.562, 0.594, 0.625, 0.656, 0.688, 0.719, 0.75, 0.781, 0.812, 0.844, 0.875, 0.906, 0.938, 0.969, 1.0];[13, 14, 16, 16, 16, 16, 12, 12, 12, 5, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 5, 5, 5, 6];[15, 15, 15, 15, 15, 15, 15, 0, 10, 0, 0, 10, 0, 15, 15, 15, 0, 0, 0, 0, 0, 0, 0, 10, 10, 10, 0, 0, 0, 0, 0, 0, 0];[4, 4, 4, 4, 4, 4, 4, 2, 3, 2, 2, 3, 2, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];57;10;1;9.345;9.339156972230905;-13.40694;-13.399993032469654
0.9;50;[0.0, 0.031, 0.062, 0.094, 0.125, 0.156, 0.188, 0.219, 0.25, 0.281, 0.312, 0.344, 0.375, 0.406, 0.438, 0.469, 0.5, 0.531, 0.562, 0.594, 0.625, 0.656, 0.688, 0.719, 0.75, 0.781, 0.812, 0.844, 0.875, 0.906, 0.938, 0.969, 1.0];[13, 14, 16, 16, 16, 16, 16, 12, 11, 11, 11, 6, 6, 6, 6, 6, 5, 5, 5, 5, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5];[15, 15, 15, 15, 15, 15, 15, 15, 0, 0, 0, 0, 0, 10, 0, 10, 10, 15, 10, 10, 10, 10, 0, 0, 0, 0, 0, 0, 10, 10, 0, 10, 0];[4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 3, 2, 3, 3, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 3, 3, 2, 3, 2];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];57;10;1;9.345;9.338047610386084;-13.40694;-13.40112013299731
0.9;50;[0.0, 0.031, 0.062, 0.094, 0.125, 0.156, 0.188, 0.219, 0.25, 0.281, 0.312, 0.344, 0.375, 0.406, 0.438, 0.469, 0.5, 0.531, 0.562, 0.594, 0.625, 0.656, 0.688, 0.719, 0.75, 0.781, 0.812, 0.844, 0.875, 0.906, 0.938, 0.969, 1.0];[13, 14, 16, 16, 16, 16, 16, 13, 11, 11, 11, 16, 16, 16, 6, 6, 6, 6, 6, 6, 5, 5, 5, 5, 4, 4, 5, 5, 6, 6, 6, 6, 6];[15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 15, 10, 10, 10, 10, 15];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 4];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];57;10;1;9.345;9.33714948889175;-13.40694;-13.402424057145954
0.9;50;[0.0, 0.031, 0.062, 0.094, 0.125, 0.156, 0.188, 0.219, 0.25, 0.281, 0.312, 0.344, 0.375, 0.406, 0.438, 0.469, 0.5, 0.531, 0.562, 0.594, 0.625, 0.656, 0.688, 0.719, 0.75, 0.781, 0.812, 0.844, 0.875, 0.906, 0.938, 0.969, 1.0];[13, 14, 14, 16, 16, 16, 16, 13, 13, 13, 13, 13, 16, 13, 13, 13, 13, 13, 13, 15, 15, 8, 9, 9, 9, 9, 14, 14, 14, 8, 8, 8, 10];[15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 0, 15, 15, 0, 0, 10, 0, 0, 0, 0, 15, 0, 15, 15, 0, 0, 0, 0];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 2, 2, 3, 2, 2, 2, 2, 4, 2, 4, 4, 2, 2, 2, 2];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];57;10;1;9.345;9.336489895252994;-13.40694;-13.403865187710549
0.9;50;[0.0, 0.031, 0.062, 0.094, 0.125, 0.156, 0.188, 0.219, 0.25, 0.281, 0.312, 0.344, 0.375, 0.406, 0.438, 0.469, 0.5, 0.531, 0.562, 0.594, 0.625, 0.656, 0.688, 0.719, 0.75, 0.781, 0.812, 0.844, 0.875, 0.906, 0.938, 0.969, 1.0];[13, 14, 14, 12, 12, 12, 13, 13, 13, 13, 13, 13, 13, 13, 13, 14, 14, 14, 12, 12, 12, 11, 11, 15, 13, 13, 13, 9, 9, 9, 8, 8, 8];[15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 0];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];57;10;1;9.345;9.336088869926671;-13.40694;-13.40539973952891
0.9;50;[0.0, 0.031, 0.062, 0.094, 0.125, 0.156, 0.188, 0.219, 0.25, 0.281, 0.312, 0.344, 0.375, 0.406, 0.438, 0.469, 0.5, 0.531, 0.562, 0.594, 0.625, 0.656, 0.688, 0.719, 0.75, 0.781, 0.812, 0.844, 0.875, 0.906, 0.938, 0.969, 1.0];[13, 14, 14, 12, 12, 12, 10, 10, 10, 9, 9, 9, 7, 7, 7, 7, 7, 7, 5, 5, 5, 7, 7, 7, 5, 5, 5, 4, 4, 4, 4, 4, 4];[15, 15, 0, 15, 15, 15, 15, 15, 15, 15, 15, 15, 0, 0, 0, 0, 0, 0, 0, 0, 15, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 0, 10];[4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];57;10;1;9.345;9.335958597517804;-13.40694;-13.406981089526854
0.9;50;[0.0, 0.031, 0.062, 0.094, 0.125, 0.156, 0.188, 0.219, 0.25, 0.281, 0.312, 0.344, 0.375, 0.406, 0.438, 0.469, 0.5, 0.531, 0.562, 0.594, 0.625, 0.656, 0.688, 0.719, 0.75, 0.781, 0.812, 0.844, 0.875, 0.906, 0.938, 0.969, 1.0];[13, 14, 14, 12, 12, 12, 10, 10, 10, 9, 9, 9, 5, 5, 5, 5, 5, 5, 6, 6, 6, 5, 5, 5, 6, 6, 6, 6, 6, 6, 5, 5, 5];[15, 15, 0, 15, 15, 15, 15, 15, 15, 0, 0, 0, 0, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10];[4, 4, 2, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];57;10;1;9.345;9.33610303659795;-13.40694;-13.408561192914307
0.9;50;[0.0, 0.031, 0.062, 0.094, 0.125, 0.156, 0.188, 0.219, 0.25, 0.281, 0.312, 0.344, 0.375, 0.406, 0.438, 0.469, 0.5, 0.531, 0.562, 0.594, 0.625, 0.656, 0.688, 0.719, 0.75, 0.781, 0.812, 0.844, 0.875, 0.906, 0.938, 0.969, 1.0];[13, 14, 14, 14, 12, 12, 7, 6, 6, 6, 5, 5, 5, 5, 5, 4, 7, 7, 7, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5, 12];[15, 15, 15, 15, 15, 15, 0, 0, 15, 0, 10, 10, 0, 10, 0, 10, 10, 10, 10, 10, 10, 10, 15, 10, 10, 10, 10, 10, 10, 10, 0, 0, 0];[4, 4, 4, 4, 4, 4, 2, 2, 4, 2, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];57;10;1;9.345;9.336517799388467;-13.40694;-13.410092042552835
0.9;50;[0.0, 0.031, 0.062, 0.094, 0.125, 0.156, 0.188, 0.219, 0.25, 0.281, 0.312, 0.344, 0.375, 0.406, 0.438, 0.469, 0.5, 0.531, 0.562, 0.594, 0.625, 0.656, 0.688, 0.719, 0.75, 0.781, 0.812, 0.844, 0.875, 0.906, 0.938, 0.969, 1.0];[13, 14, 14, 14, 7, 7, 7, 6, 6, 6, 5, 5, 5, 5, 4, 4, 7, 7, 7, 7, 7, 6, 4, 4, 6, 6, 6, 6, 10, 10, 10, 10, 10];[15, 15, 15, 15, 15, 15, 0, 0, 15, 10, 10, 10, 10, 0, 0, 0, 15, 10, 0, 10, 10, 10, 10, 10, 10, 10, 10, 0, 15, 15, 15, 0, 10];[4, 4, 4, 4, 4, 4, 2, 2, 4, 3, 3, 3, 3, 2, 2, 2, 4, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 4, 4, 4, 2, 3];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];57;10;1;9.345;9.33719028496894;-13.40694;-13.411527127206359
0.9;50;[0.0, 0.031, 0.062, 0.094, 0.125, 0.156, 0.188, 0.219, 0.25, 0.281, 0.312, 0.344, 0.375, 0.406, 0.438, 0.469, 0.5, 0.531, 0.562, 0.594, 0.625, 0.656, 0.688, 0.719, 0.75, 0.781, 0.812, 0.844, 0.875, 0.906, 0.938, 0.969, 1.0];[13, 14, 14, 14, 7, 7, 7, 7, 5, 5, 5, 5, 5, 6, 6, 6, 7, 4, 4, 4, 4, 4, 7, 7, 10, 10, 6, 6, 5, 5, 5, 5, 5];[15, 15, 15, 15, 15, 0, 0, 0, 10, 0, 10, 10, 15, 15, 15, 0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 15, 15, 15, 15, 15, 15, 15];[4, 4, 4, 4, 4, 2, 2, 2, 3, 2, 3, 3, 4, 4, 4, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4];57;10;1;9.345;9.338100061976828;-13.40694;-13.412822844417603
