,tx_id,rx_id,link_id,distance_km,azimuth_deg,geometry
53,TX_0001,54,TX_0001_RX_0054,1.0,265.0,POINT (-13.416012215553865 9.344252546408429)
54,TX_0001,55,TX_0001_RX_0055,1.0,270.0,POINT (-13.416043293948256 9.34504071433525)
55,TX_0001,56,TX_0001_RX_0056,1.0,275.0,POINT (-13.416005090308332 9.345828573248768)
56,TX_0001,57,TX_0001_RX_0057,1.0,280.0,POINT (-13.41589789492992 9.346610126968166)
57,TX_0001,58,TX_0001_RX_0058,1.0,285.0,POINT (-13.41572252320574 9.347379427262442)
58,TX_0001,59,TX_0001_RX_0059,1.0,290.0,POINT (-13.415480309432796 9.348130619124145)
59,TX_0001,60,TX_0001_RX_0060,1.0,295.0,POINT (-13.415173096669387 9.348857985334588)
60,TX_0001,61,TX_0001_RX_0061,1.0,300.0,POINT (-13.414803222718492 9.349555989981257)
61,TX_0001,62,TX_0001_RX_0062,1.0,305.0,POINT (-13.414373502343965 9.35021932059601)
62,TX_0001,63,TX_0001_RX_0063,1.0,310.0,POINT (-13.413887205854584 9.350842928593211)
63,TX_0001,64,TX_0001_RX_0064,1.0,315.0,POINT (-13.413348034218785 9.351422067699762)
64,TX_0001,65,TX_0001_RX_0065,1.0,320.0,POINT (-13.412760090899337 9.351952330084412)
65,TX_0001,66,TX_0001_RX_0066,1.0,325.0,POINT (-13.41212785062228 9.352429679911099)
66,TX_0001,67,TX_0001_RX_0067,1.0,330.0,POINT (-13.411456125317862 9.352850484060767)
67,TX_0001,68,TX_0001_RX_0068,1.0,335.0,POINT (-13.410750027492762 9.353211539787651)
68,TX_0001,69,TX_0001_RX_0069,1.0,340.0,POINT (-13.410014931312602 9.35351009909936)
69,TX_0001,70,TX_0001_RX_0070,1.0,345.0,POINT (-13.409256431691105 9.353743889675012)
70,TX_0001,71,TX_0001_RX_0071,1.0,350.0,POINT (-13.40848030169763 9.353911132162196)
71,TX_0001,72,TX_0001_RX_0072,1.0,355.0,POINT (-13.407692448607582 9.354010553720853)
72,TX_0001,73,TX_0001_RX_0073,2.0,0.0,POINT (-13.406857696313264 9.363082790646727)
73,TX_0001,74,TX_0001_RX_0074,2.0,5.0,POINT (-13.405271123788856 9.363006845408833)
74,TX_0001,75,TX_0001_RX_0075,2.0,10.0,POINT (-13.403697256145017 9.362793850578276)
75,TX_0001,76,TX_0001_RX_0076,2.0,15.0,POINT (-13.402148073183772 9.362445427718523)
76,TX_0001,77,TX_0001_RX_0077,2.0,20.0,POINT (-13.400635366676026 9.36196422921237)
77,TX_0001,78,TX_0001_RX_0078,2.0,25.0,POINT (-13.399170650571726 9.361353918055112)
78,TX_0001,79,TX_0001_RX_0079,2.0,30.0,POINT (-13.397765073330914 9.360619139953014)
79,TX_0001,80,TX_0001_RX_0080,2.0,35.0,POINT (-13.396429333044166 9.359765487940132)
80,TX_0001,81,TX_0001_RX_0081,2.0,40.0,POINT (-13.395173595989338 9.358799459783567)
81,TX_0001,82,TX_0001_RX_0082,2.0,45.0,POINT (-13.394007419245288 9.357728408502247)
82,TX_0001,83,TX_0001_RX_0083,2.0,50.0,POINT (-13.392939677951878 9.356560486376667)
83,TX_0001,84,TX_0001_RX_0084,2.0,55.0,POINT (-13.39197849777008 9.355304582876668)
84,TX_0001,85,TX_0001_RX_0085,2.0,60.0,POINT (-13.391131193055969 9.353970256980418)
85,TX_0001,86,TX_0001_RX_0086,2.0,65.0,POINT (-13.39040421121872 9.352567664400695)
86,TX_0001,87,TX_0001_RX_0087,2.0,70.0,POINT (-13.389803083685264 9.35110748027284)
87,TX_0001,88,TX_0001_RX_0088,2.0,75.0,POINT (-13.38933238384382 9.349600817893595)
88,TX_0001,89,TX_0001_RX_0089,2.0,80.0,POINT (-13.388995692285068 9.348059144129682)
89,TX_0001,90,TX_0001_RX_0090,2.0,85.0,POINT (-13.388795569604088 9.346494192140318)
90,TX_0001,91,TX_0001_RX_0091,2.0,90.0,POINT (-13.388733536968418 9.344917872078124)
91,TX_0001,92,TX_0001_RX_0092,2.0,95.0,POINT (-13.38881006459847 9.343342180448158)
92,TX_0001,93,TX_0001_RX_0093,2.0,100.0,POINT (-13.38902456824616 9.34177910881475)
93,TX_0001,94,TX_0001_RX_0094,2.0,105.0,POINT (-13.389375413696866 9.34024055255077)
94,TX_0001,95,TX_0001_RX_0095,2.0,110.0,POINT (-13.389859929258746 9.338738220323364)
95,TX_0001,96,TX_0001_RX_0096,2.0,115.0,POINT (-13.390474426142772 9.33728354500455)
96,TX_0001,97,TX_0001_RX_0097,2.0,120.0,POINT (-13.391214226577013 9.335887596684044)
97,TX_0001,98,TX_0001_RX_0098,2.0,125.0,POINT (-13.39207369943991 9.334560998445601)
98,TX_0001,99,TX_0001_RX_0099,2.0,130.0,POINT (-13.393046303140457 9.333313845547101)
99,TX_0001,100,TX_0001_RX_0100,2.0,135.0,POINT (-13.394124635418143 9.332155628618532)
100,TX_0001,101,TX_0001_RX_0101,2.0,140.0,POINT (-13.3953004896833 9.331095161461604)
101,TX_0001,102,TX_0001_RX_0102,2.0,145.0,POINT (-13.396564917468886 9.330140513999504)
102,TX_0001,103,TX_0001_RX_0103,2.0,150.0,POINT (-13.397908296518603 9.32929895088631)
103,TX_0001,104,TX_0001_RX_0104,2.0,155.0,POINT (-13.399320403993622 9.328576876242451)
104,TX_0001,105,TX_0001_RX_0105,2.0,160.0,POINT (-13.400790494241512 9.327979784936092)
105,TX_0001,106,TX_0001_RX_0106,2.0,165.0,POINT (-13.402307380536522 9.327512220780637)
106,TX_0001,107,TX_0001_RX_0107,2.0,170.0,POINT (-13.403859520170325 9.327177741965942)
107,TX_0001,108,TX_0001_RX_0108,2.0,175.0,POINT (-13.405435102247104 9.326978893986025)
108,TX_0001,109,TX_0001_RX_0109,2.0,180.0,POINT (-13.40702213751632 9.326917190269011)
109,TX_0001,110,TX_0001_RX_0110,2.0,185.0,POINT (-13.408608549561194 9.326993100656704)
110,TX_0001,111,TX_0001_RX_0111,2.0,190.0,POINT (-13.410182266650592 9.327206047821528)
111,TX_0001,112,TX_0001_RX_0112,2.0,195.0,POINT (-13.411731313557015 9.327554411648316)
112,TX_0001,113,TX_0001_RX_0113,2.0,200.0,POINT (-13.413243902643513 9.328035541547962)
113,TX_0001,114,TX_0001_RX_0114,2.0,205.0,POINT (-13.414708523527924 9.328645776609742)
114,TX_0001,115,TX_0001_RX_0115,2.0,210.0,POINT (-13.416114030643413 9.329380473439505)
115,TX_0001,116,TX_0001_RX_0116,2.0,215.0,POINT (-13.417449728030133 9.330234041472632)
116,TX_0001,117,TX_0001_RX_0117,2.0,220.0,POINT (-13.418705450713713 9.331199985493695)
117,TX_0001,118,TX_0001_RX_0118,2.0,225.0,POINT (-13.419871642051962 9.33227095504018)
118,TX_0001,119,TX_0001_RX_0119,2.0,230.0,POINT (-13.420939426461578 9.33343880031506)
119,TX_0001,120,TX_0001_RX_0120,2.0,235.0,POINT (-13.421900676971525 9.334694634183577)
120,TX_0001,121,TX_0001_RX_0121,2.0,240.0,POINT (-13.42274807708884 9.336028899783264)
121,TX_0001,122,TX_0001_RX_0122,2.0,245.0,POINT (-13.42347517650557 9.337431443233436)
122,TX_0001,123,TX_0001_RX_0123,2.0,250.0,POINT (-13.424076440222192 9.338891590891523)
123,TX_0001,124,TX_0001_RX_0124,2.0,255.0,POINT (-13.424547290712628 9.340398230568892)
124,TX_0001,125,TX_0001_RX_0125,2.0,260.0,POINT (-13.424884142808809 9.341939896088617)
125,TX_0001,126,TX_0001_RX_0126,2.0,265.0,POINT (-13.425084431037806 9.34350485454197)
126,TX_0001,127,TX_0001_RX_0127,2.0,270.0,POINT (-13.425146629201986 9.345081195579922)
127,TX_0001,128,TX_0001_RX_0128,2.0,275.0,POINT (-13.425070262051442 9.346656922060081)
128,TX_0001,129,TX_0001_RX_0129,2.0,280.0,POINT (-13.424855908958172 9.348220041359212)
129,TX_0001,130,TX_0001_RX_0130,2.0,285.0,POINT (-13.424505199562274 9.349758656656144)
130,TX_0001,131,TX_0001_RX_0131,2.0,290.0,POINT (-13.42402080142164 9.351261057490053)
131,TX_0001,132,TX_0001_RX_0132,2.0,295.0,POINT (-13.423406399757505 9.352715808904334)
132,TX_0001,133,TX_0001_RX_0133,2.0,300.0,POINT (-13.422666669448603 9.354111838497161)
133,TX_0001,134,TX_0001_RX_0134,2.0,305.0,POINT (-13.421807239485755 9.355438520715351)
134,TX_0001,135,TX_0001_RX_0135,2.0,310.0,POINT (-13.420834650156483 9.356685757749354)
135,TX_0001,136,TX_0001_RX_0136,2.0,315.0,POINT (-13.419756303284627 9.357844056412759)
136,TX_0001,137,TX_0001_RX_0137,2.0,320.0,POINT (-13.41858040590329 9.358904600420392)
137,TX_0001,138,TX_0001_RX_0138,2.0,325.0,POINT (-13.417315907789575 9.359859317513983)
138,TX_0001,139,TX_0001_RX_0139,2.0,330.0,POINT (-13.41597243333667 9.360700940923744)
139,TX_0001,140,TX_0001_RX_0140,2.0,335.0,POINT (-13.414560208282174 9.361423064697172)
140,TX_0001,141,TX_0001_RX_0141,2.0,340.0,POINT (-13.413089981851112 9.362020192473311)
141,TX_0001,142,TX_0001_RX_0142,2.0,345.0,POINT (-13.411572944907096 9.36248777933065)
142,TX_0001,143,TX_0001_RX_0143,2.0,350.0,POINT (-13.410020644735841 9.362822266389541)
143,TX_0001,144,TX_0001_RX_0144,2.0,355.0,POINT (-13.40844489711102 9.363021107905473)
144,TX_0001,145,TX_0001_RX_0145,3.0,0.0,POINT (-13.406816482142924 9.372124178802327)
145,TX_0001,146,TX_0001_RX_0146,3.0,5.0,POINT (-13.40443656302348 9.372010247862491)
146,TX_0001,147,TX_0001_RX_0147,3.0,10.0,POINT (-13.402075704958122 9.37169073770314)
147,TX_0001,148,TX_0001_RX_0148,3.0,15.0,POINT (-13.399751879374987 9.371168081215583)
148,TX_0001,149,TX_0001_RX_0149,3.0,20.0,POINT (-13.397482775488893 9.370446257651293)
149,TX_0001,150,TX_0001_RX_0150,3.0,25.0,POINT (-13.395285665568911 9.369530762290953)
150,TX_0001,151,TX_0001_RX_0151,3.0,30.0,POINT (-13.39317727339389 9.36842856456796)
151,TX_0001,152,TX_0001_RX_0152,3.0,35.0,POINT (-13.391173646899846 9.367148054966847)
152,TX_0001,153,TX_0001_RX_0153,3.0,40.0,POINT (-13.38929003599078 9.365698981102506)
153,TX_0001,154,TX_0001_RX_0154,3.0,45.0,POINT (-13.387540776444459 9.364092373468784)
154,TX_0001,155,TX_0001_RX_0155,3.0,50.0,POINT (-13.38593918079779 9.362340461423488)
155,TX_0001,156,TX_0001_RX_0156,3.0,55.0,POINT (-13.384497437042441 9.360456580051324)
156,TX_0001,157,TX_0001_RX_0157,3.0,60.0,POINT (-13.383226515901363 9.35845506861552)
157,TX_0001,158,TX_0001_RX_0158,3.0,65.0,POINT (-13.382136087390784 9.356351161372881)
158,TX_0001,159,TX_0001_RX_0159,3.0,70.0,POINT (-13.381234447300955 9.354160871584838)
159,TX_0001,160,TX_0001_RX_0160,3.0,75.0,POINT (-13.380528454152852 9.351900869608759)
160,TX_0001,161,TX_0001_RX_0161,3.0,80.0,POINT (-13.380023477107752 9.34958835599838)
161,TX_0001,162,TX_0001_RX_0162,3.0,85.0,POINT (-13.37972335522284 9.347240930580073)
162,TX_0001,163,TX_0001_RX_0163,3.0,90.0,POINT (-13.379630368359331 9.34487645850177)
163,TX_0001,164,TX_0001_RX_0164,3.0,95.0,POINT (-13.379745219960627 9.342512934274193)
164,TX_0001,165,TX_0001_RX_0165,3.0,100.0,POINT (-13.380067031827682 9.340168344838956)
165,TX_0001,166,TX_0001_RX_0166,3.0,105.0,POINT (-13.380593350927372 9.337860532704973)
166,TX_0001,167,TX_0001_RX_0167,3.0,110.0,POINT (-13.381320168178304 9.335607060194093)
167,TX_0001,168,TX_0001_RX_0168,3.0,115.0,POINT (-13.382241949067529 9.333425075827828)
168,TX_0001,169,TX_0001_RX_0169,3.0,120.0,POINT (-13.383351675862025 9.331331183870644)
